time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,2,2,0,0
2026-06-11 00:00:00+00:00,21,5,0,0
2026-06-12 00:00:00+00:00,27,8,0,0
2026-06-13 00:00:00+00:00,26,8,0,0
2026-06-14 00:00:00+00:00,23,7,0,0
2026-06-15 00:00:00+00:00,24,7,0,0
2026-06-16 00:00:00+00:00,26,6,0,0
2026-06-17 00:00:00+00:00,25,8,0,0
2026-06-18 00:00:00+00:00,21,6,0,0
2026-06-19 00:00:00+00:00,45,11,0,0
2026-06-20 00:00:00+00:00,49,10,0,0
2026-06-21 00:00:00+00:00,38,9,0,0
2026-06-22 00:00:00+00:00,31,8,0,0
2026-06-23 00:00:00+00:00,34,9,0,0
