time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-01-20 00:00:00+00:00,15,6,0,0
2026-01-21 00:00:00+00:00,13,4,0,0
2026-01-22 00:00:00+00:00,4,4,0,0
2026-01-23 00:00:00+00:00,2,2,0,0
2026-01-24 00:00:00+00:00,29,9,0,0
2026-01-25 00:00:00+00:00,15,5,0,0
2026-01-26 00:00:00+00:00,14,4,0,0
2026-01-27 00:00:00+00:00,20,6,0,0
2026-01-28 00:00:00+00:00,11,5,0,0
2026-01-29 00:00:00+00:00,16,6,0,0
2026-01-30 00:00:00+00:00,9,3,0,0
2026-01-31 00:00:00+00:00,27,9,0,0
2026-02-01 00:00:00+00:00,13,7,0,0
2026-02-02 00:00:00+00:00,14,4,0,0
