time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-05-31 00:00:00+00:00,32,12,0,0
2026-06-01 00:00:00+00:00,17,6,0,0
2026-06-02 00:00:00+00:00,15,4,0,0
2026-06-03 00:00:00+00:00,29,10,0,0
2026-06-04 00:00:00+00:00,2,2,0,0
2026-06-05 00:00:00+00:00,8,2,0,0
2026-06-06 00:00:00+00:00,21,6,0,0
2026-06-07 00:00:00+00:00,18,7,0,0
2026-06-08 00:00:00+00:00,20,5,0,0
2026-06-09 00:00:00+00:00,23,7,0,0
2026-06-10 00:00:00+00:00,2,2,0,0
2026-06-11 00:00:00+00:00,21,5,0,0
2026-06-12 00:00:00+00:00,27,8,0,0
2026-06-13 00:00:00+00:00,26,8,0,0
